EC1
EC2
EC3
EC4
EC5
EC6
EC7
EC8
EC9
from file: scripts/TS3_Archived.tsv
H9_d00_rep1
H9_d00_rep2
H9_d01_rep1
H9_d01_rep2
H9_d02_rep1
H9_d02_rep2
H9_d03_rep1
H9_d03_rep2
H9_d04_rep1
H9_d04_rep2
H9_d05_rep1
H9_d05_rep2
H9_d06_rep1
H9_d06_rep2
H9_d07_rep1
H9_d07_rep2
H9_d08_rep1
H9_d08_rep2
H9_d10_rep1
H9_d10_rep2
H9_d12_rep1
H9_d12_rep2
H9_d14_rep1
H9_d14_rep2
H9_d16_rep1
H9_d16_rep2
H9_d18_rep1
H9_d18_rep2
H9_d20_rep1
H9_d20_rep2
H9_d22_rep1
H9_d22_rep2
H9_d24_rep1
H9_d24_rep2
HPC_1
HPC_2
HPC_3
HPC_4
Islet_1
Islet_1_frozen
Islet_2_fresh
Islet_3_fresh
Islet_4_fresh
Islet_5_fresh
JYH_115
JYH_116
JYH_117
JYH_183_184
JYH_183_184_186_187
JYH_186_187
JYH_267
JYH_268
JYH_468
JYH_469
JYH_541
JYH_542
MIR_1
MIR_10
MIR_11
MIR_12
MIR_13
MIR_14
MIR_15
MIR_16
MIR_2
MIR_3
MIR_4
MIR_5
MIR_6
MIR_7
MIR_8
MIR_9
NT-1
NT-2
RMM_12
RMM_13
RMM_14
RMM_15
RMM_16
SH-A1-4-1
SH-A1-4-2
SH-A1-6-1
SH-A1-6-2
SP245
SP246
SP247
SP248
SP249
SP268
SP269
SP270
SP271
SP275
SP280
SP281
SP282
SP283
SP284
SP285
SRC_1625
SRC_1626
SRC1567
SRC1568
SRC1569
SRC1570
SRC1571
SRC1572
SRC1573
SRC1574
SRC1575
SRC1576
SRC1577
SRC1578
SRC1579
SRC1580
SRC1581
SRC1582
SRC1583
SRC1584
SRC1585
SRC1586
SRC1587
SRC1588
SRC1589
SRC1590
SRC1591
SRC1592
SRC1609
SRC1610
SRC1611
SRC1612
SRC1613
SRC1614
SRC1615
SRC1639
SRC1640
SRC1641
SRC1642
SRC1643
SRC1644
SRC1645
SRC1646
SRC1647
SRC1648
SRC1649
SRC1650
SRC1651
SRC1652
SRC1653
SRC1654
SRC1690
SRC1691
SRC1692
SRC1693
SRC1694
SRC1695
SRC1696
SRC1697
SRC1698
SRC1699
SRC1700
SRC1701
SRC1702
SRC1703
SRC1704
SRC1705
SRC1706
SRC1707
SRC1708
SRC1709
SRC1710
SRC1711
SRC1712
SRC1713
SRC1723
SRC1724
SRC1725
SRC1726
SRC1727
SRC1728
SRC1729
SRC1730
SRC1731
SRC1732
SRC1733
SRC1734
SRC1735
SRC1736
SRC1737
SRC1738
SRC1739
SRC1740
SRC1741
SRC1742
SRC1743
SRC1744
SRC1745
SRC1746
SRC1747
SRC1748
SRC1749
SRC1750
SRC1751
SRC1752
SRC1753
SRC1754
SRC1755
SRC1756
SRC1757
SRC1758
XW_78

